,PART,DEVICE,VALUE,TYPE,PACKAGE,PART NO.,SKU,P/DNP,DESCRIPTION,PINS
41,IC2,Accelerometer,MXC4005XC,SMD,"6-TFBGA, WLBGA",MXC4005XC Accelerometer,MXC4005XC Accelerometer,DNP,Accelerometers Monolithic and Wafer Level Packaged Three-Axis Accelerometer,
42,MAX809S,Reset IC,MAX809SN293D3T1G,SMD,SOT-23-3,MAX809SN293D3T1G,MAX809SN293D3T1G,DNP,"Supervisor Push-Pull, Totem Pole 1 Channel SOT-23-3 (TO-236)",
43,IC1,LED,LTR-308ALS-01,SMD,ChipLED-6,LTR-303ALS-01,LTR-303ALS-01,DNP,Ambient Light Sensors Ambient Light Photo Sensor,
44,RGB1,RGB LED,RGBLED5050,SMD,5050,LED_SSMT_RGB_5050,LED_SSMT_RGB_5050,P,,
45,LED1,LED,,SMD,603,LED_SMT_RED_0603,LED_SMT_RED_0603,P,,
46,LED2,LED,,SMD,603,LED_SMT_RED_0603,LED_SMT_RED_0603,P,,
47,LED3,LED,,SMD,603,LED_SMT_RED_0603,LED_SMT_RED_0603,P,,
48,LED4,LED,,SMD,603,LED_SMT_RED_0603,LED_SMT_RED_0603,P,,
49,Q1,MOSFET,FDN360P,SMD,SOT-23-3,FDN360P,FDN360P,P,P-Channel 30V 2A (Ta) 500mW (Ta) Surface Mount SuperSOT-3,
50,Q2,MOSFET,FDN360P,SMD,SOT-23-3,FDN360P,FDN360P,P,P-Channel 30V 2A (Ta) 500mW (Ta) Surface Mount SuperSOT-3,
51,DECAWAVE,Decawave,DWM1000,SMD,DWM1000,DWM1000,DWM1000,P,,
52,C4,Capacitor,4.7uF,SMD,402,CAP_4.7_uF_0402_6.3V_10%,CAP_4.7_uF_0402_6.3V_10%,P,,
53,C13,Capacitor,1~4.7uF,SMD,402,CAP_4.7_uF_0402_6.3V_10%,CAP_4.7_uF_0402_6.3V_10%,P,Multilayer Ceramic Capacitors MLCC - SMD/SMT 250V 200pF C0G 0402 0.02,
54,C1,Capacitor,1uF,SMD,402,CAP_1_uF_0402_6.3V_10%,CAP_1_uF_0402_6.3V_10%,P,,
55,C5,Capacitor,1uF,SMD,402,CAP_1_uF_0402_6.3V_10%,CAP_1_uF_0402_6.3V_10%,P,,
56,C7,Capacitor,1uF,SMD,402,CAP_1_uF_0402_6.3V_10%,CAP_1_uF_0402_6.3V_10%,P,,
57,I/N,Capacitor,1uF,SMD,402,CAP_1_uF_0402_6.3V_10%,CAP_1_uF_0402_6.3V_10%,P,,
58,O/P,Capacitor,1uF 10V,SMD,402,CAP_1_uF_0402_16V_10%,CAP_1_uF_0402_16V_10%,P,,
59,C2,Capacitor,18pF,SMD,402,CAP_18_pF_0402_6.3V_10%,CAP_18_pF_0402_6.3V_10%,P,,
60,C3,Capacitor,18pF,SMD,402,CAP_18_pF_0402_6.3V_10%,CAP_18_pF_0402_6.3V_10%,P,,
61,BQ24092,Battery Charger,BQ24092DGQR,SMD,MSOP-10,BQ24092DGQR,BQ24092DGQR,P,Crystals 16.000MHz 30ppm -20 +70C 18pF,
62,ATMEGA,Controller,ATMEGA328P_TQFP,SMD,TQFP32-08,ATMEGA328P-AUR,ATMEGA328P-AUR,P,,
63,16MHZ,16MHz Crystal,16MHz,SMD,SMD-2(5 mm x 3.2 mm),7A-16.000MAAJ-T‎,7A-16.000MAAJ-T,P,2N7002DW Series 60 V  200mW 7.5 Ohm Dual N-Channel Enhancement Mode Transistor SOT-363,
64,2N7002DW,Transistor,2N7002DW,SMD,SOT-363-6,2N7002DW-7-F,2N7002DW-7-F‎ MOSFET,DNP,"2N7002DW, Dual N-channel MOSFET Transistor, 0.115A 60V, 6-Pin SC-70",
65,ATMEGA_PROG,,,TH,1X06_1.27MM,CONN_1x6_P_TH_1.27MM,CONN_1x6_P_TH_1.27MM,DNP,,
66,AT_PROG,,,TH,1X06_1.27MM,CONN_1x6_P_TH_1.27MM,CONN_1x6_P_TH_1.27MM,DNP,,
67,PH2,,PH1X4-10,TH,PH010-1-4,CONN_1x4_P_TH_2.54MM_MALE,CONN_1x4_P_TH_2.54MM_MALE,DNP,,
68,TPS1,Load Switch,TPS22918,SMD,SOT-23-6,TPS22918DBVR,TPS22918DBVR,DNP,,
69,R14,Resistor,1k,SMD,402,RES_1k_OHM_0402_1/16W_5%,RES_1k_OHM_0402_1/16W_5%,DNP,,
70,R15,Resistor,1k,SMD,402,RES_1k_OHM_0402_1/16W_5%,RES_1k_OHM_0402_1/16W_5%,DNP,,
71,R5,Resistor,0,SMD,402,RES_0_OHM_0402_1/16W_5%,RES_0_OHM_0402_1/16W_5%,DNP,,
72,R8,Resistor,0 ohms,SMD,402,RES_0_OHM_0402_1/16W_5%,RES_0_OHM_0402_1/16W_5%,DNP,,
73,R21,Resistor,0,SMD,402,RES_0_OHM_0402_1/16W_5%,RES_0_OHM_0402_1/16W_5%,DNP,,
74,R25,Resistor,0ohm,SMD,402,RES_0_OHM_0402_1/16W_5%,RES_0_OHM_0402_1/16W_5%,DNP,,
75,NTC,NTC,NCP18WF104J03RB,SMD,603,NCP18WF104J03RB,NCP18WF104J03RB,DNP,"Micro B, USB 2.0, 1.8 A, Right Angle, Surface Mount (SMT), Waterproof, USB Receptacle, IP6",
76,D1,TVS Diode,SMF5.0CA,SMD,SOD-123-2,SMF5.0CA,EDS_9.2V_SOD-123-2,DNP,"ESD Suppressors / TVS Diodes ""TVS SMF 5.0V BI, 7'' TR"" Surface Mount 200W > SMF Series",
77,D2,TVS Diode,SMF5.0CA,SMD,SOD-123-2,SMF5.0CA,EDS_9.2V_SOD-123-2,DNP,"ESD Suppressors / TVS Diodes ""TVS SMF 5.0V BI, 7'' TR"" Surface Mount 200W > SMF Series",
78,D3,TVS Diode,SMF5.0CA,SMD,SOD-123-2,SMF5.0CA,EDS_9.2V_SOD-123-2,DNP,"ESD Suppressors / TVS Diodes ""TVS SMF 5.0V BI, 7'' TR"" Surface Mount 200W > SMF Series",
